,ID,CODIGO_ACT,NOMBRE_ACT,PER_OCU,MUNICIPIO,LOCALIDAD,PER_OCU_NUMERIC,NOMBRE_ACT_NUMERIC,y,x
7362,9255986,115111.0,Servicios de fumigación agrícola,0 a 5 personas,Celaya,Celaya,1,4,20.52793216,-100.79346918
7366,8066482,115111.0,Servicios de fumigación agrícola,6 a 10 personas,Jaral del Progreso,Jaral del Progreso,0,4,20.37382359,-101.06262136999996
7369,8574174,115113.0,Beneficio de productos agrícolas,0 a 5 personas,Celaya,San Miguel Octopan,1,3,20.57120648,-100.7516279
7371,1179274,115210.0,Servicios relacionados con la cría y explotación de animales,0 a 5 personas,San Francisco del Rincón,Las Ánimas,1,2,20.99379111,-101.84587444
7375,8609187,115119.0,Otros servicios relacionados con la agricultura,0 a 5 personas,Celaya,San Miguel Octopan,1,5,20.57045618,-100.75391708
7379,8609188,115119.0,Otros servicios relacionados con la agricultura,0 a 5 personas,Celaya,San Miguel Octopan,1,5,20.57047435,-100.75523155
7380,1209138,115113.0,Beneficio de productos agrícolas,11 a 30 personas,Irapuato,Irapuato,2,3,20.69552713,-101.33741511
7384,6170482,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",31 a 50 personas,Yuriria,Yuriria,3,0,20.22059914,-101.13875326
7389,8901092,115113.0,Beneficio de productos agrícolas,101 a 250 personas,Cortazar,Ninguno [Fabricaciones de Metal],4,3,20.511388,-100.959826
7392,6170485,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Yuriria,Yuriria,2,0,20.21415448,-101.12730763
7395,9425634,115113.0,Beneficio de productos agrícolas,101 a 250 personas,Villagrán,San Salvador Torrecillas,4,3,20.56208967,-100.95845979999999
7398,9046168,112512.0,"Piscicultura y otra acuicultura, excepto camaronicultura",0 a 5 personas,Comonfort,San Pedro Norte,1,1,20.77486576,-100.79152738
7401,9419037,115113.0,Beneficio de productos agrícolas,11 a 30 personas,Irapuato,Cuarta Brigada,2,3,20.61993568,-101.28081509999998
7404,9418703,115113.0,Beneficio de productos agrícolas,11 a 30 personas,San Miguel de Allende,San Miguel de Allende,2,3,20.89053884,-100.7626953
7406,1336162,115113.0,Beneficio de productos agrícolas,0 a 5 personas,Irapuato,Irapuato,1,3,20.67648997,-101.35496799
7408,9051272,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",11 a 30 personas,Tarimoro,Tarimoro,2,0,20.28968453,-100.75637659
7410,7977014,114119.0,"Pesca y captura de peces, crustáceos, moluscos y otras especies",0 a 5 personas,Yuriria,San Vicente Zapote,1,0,20.24767543,-101.22363203999998
7413,1355866,115111.0,Servicios de fumigación agrícola,0 a 5 personas,Celaya,Celaya,1,4,20.51732361,-100.79337291
7419,7793869,115111.0,Servicios de fumigación agrícola,0 a 5 personas,Salamanca,Salamanca,1,4,20.58062643,-101.20857801
7422,8586554,115111.0,Servicios de fumigación agrícola,0 a 5 personas,León,León de los Aldama,1,4,21.13532349,-101.68603534
7425,6497160,115119.0,Otros servicios relacionados con la agricultura,0 a 5 personas,Purísima del Rincón,Jalpa de Cánovas,1,5,20.8808972,-101.98496511
7428,6782489,115119.0,Otros servicios relacionados con la agricultura,11 a 30 personas,Irapuato,Irapuato,2,5,20.66177848,-101.36405516
